test_date,category,fund_name,hist_pick_ann,hist_pick_hit,hist_n_months,fwd_months,fwd_alpha_ann,random_alpha
Nov 2024,Hybrid,HDFC Hybrid Equity Fund,23.81,86.7,14,6,2.43,-0.65
Nov 2024,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,27.71,83.3,18,6,2.92,2.28
Jan 2025,Large Cap,Edelweiss Large Cap Fund-Growth option,22.92,75.0,20,6,13.14,15.6
Jan 2025,Large Cap,Mirae Asset Large Cap Fund,18.52,75.0,19,6,14.85,15.6
Jan 2025,Mid Cap,Edelweiss Mid Cap Fund,40.9,85.0,20,6,10.24,-5.3
Jan 2025,Mid Cap,Mirae Asset Midcap Fund- Direct Growth Option,31.46,75.0,19,6,11.81,0.42
Jan 2025,Small Cap,Edelweiss Small Cap Fund,35.89,75.0,20,6,3.86,3.02
Jan 2025,Small Cap,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,26.48,71.4,7,6,0.88,-3.17
Jan 2025,Flexi Cap,HDFC Flexi Cap Fund,34.75,82.4,16,6,15.81,-4.04
Jan 2025,Flexi Cap,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,34.45,93.8,16,5,-4.33,-4.04
Jan 2025,Multi Cap,WhiteOak Capital Multi Cap Fund Direct Plan Growth,37.58,85.7,14,6,10.49,6.45
Jan 2025,Multi Cap,Edelweiss Multi Cap Fund,37.04,80.0,14,6,6.45,10.91
Jan 2025,Large & Mid Cap,HDFC Large and Mid Cap Fund,35.39,82.4,16,6,12.47,-32.21
Jan 2025,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,31.19,90.0,20,6,7.67,
Jan 2025,Focused,Edelweiss Focused Fund,29.14,80.0,20,6,7.38,
Jan 2025,Focused,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,21.31,70.0,19,6,18.12,-6.32
Jan 2025,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,29.23,75.0,19,6,8.31,-1.29
Jan 2025,Value / Contrarian,Quant Value Fund ,18.66,55.6,18,6,-8.48,-2.07
Jan 2025,Tax Saver (ELSS),WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,37.09,93.8,16,6,9.69,0.27
Jan 2025,Tax Saver (ELSS),HDFC ELSS Tax saver,30.99,85.7,14,6,16.38,-2.05
Jan 2025,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,40.63,80.0,19,6,0.54,-5.56
Jan 2025,Thematic / Sectoral,HDFC Housing Opportunities Fund ,34.34,75.0,16,6,7.33,3.98
Jan 2025,Balanced Advantage,HDFC Balanced Advantage Fund Plan,27.62,82.4,16,6,11.18,5.59
Jan 2025,Balanced Advantage,WhiteOak Capital Balanced Advantage Fund Direct Plan Growth,22.59,93.8,16,5,7.79,0.39
Jan 2025,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,25.65,85.0,20,6,12.44,0.27
Jan 2025,Hybrid,HDFC Hybrid Equity Fund,20.83,82.4,16,6,12.0,8.6
Mar 2025,Large Cap,Edelweiss Large Cap Fund-Growth option,16.04,68.2,22,6,22.29,-11.37
Mar 2025,Large Cap,Mirae Asset Large Cap Fund,12.13,68.2,21,6,26.03,22.29
Mar 2025,Mid Cap,Edelweiss Mid Cap Fund,27.24,77.3,22,6,37.17,41.9
Mar 2025,Mid Cap,Mirae Asset Midcap Fund- Direct Growth Option,18.41,68.2,21,6,41.9,37.17
Mar 2025,Small Cap,Edelweiss Small Cap Fund,21.73,68.2,22,6,35.11,18.59
Mar 2025,Small Cap,Tata Small Cap Fund-Direct Plan-Growth,9.65,63.6,22,6,18.52,42.61
Mar 2025,Flexi Cap,HDFC Flexi Cap Fund,26.48,73.7,18,6,26.43,1.39
Mar 2025,Flexi Cap,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,22.05,83.3,18,5,15.49,-11.3
Mar 2025,Multi Cap,WhiteOak Capital Multi Cap Fund Direct Plan Growth,22.1,75.0,16,6,34.94,1.9
Mar 2025,Multi Cap,HDFC Multi Cap Fund,21.2,68.4,18,6,30.08,-8.34
Mar 2025,Large & Mid Cap,HDFC Large and Mid Cap Fund,23.1,73.7,18,6,28.91,27.62
Mar 2025,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,20.34,81.8,22,6,27.62,-84.0
Mar 2025,Focused,Edelweiss Focused Fund,19.92,72.7,22,6,23.1,-16.77
Mar 2025,Focused,Bandhan Focused Fund,16.9,85.7,7,6,-6.93,25.3
Mar 2025,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,21.23,68.2,21,6,21.29,-15.17
Mar 2025,Value / Contrarian,Quant Value Fund ,11.06,50.0,20,6,10.04,-3.28
Mar 2025,Tax Saver (ELSS),Sundaram ELSS Tax Saver Fund Direct Plan Growth,35.59,75.0,8,0,,-13.66
Mar 2025,Tax Saver (ELSS),WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,23.95,83.3,18,6,30.26,2.35
Mar 2025,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,29.65,72.7,21,6,31.9,3.2
Mar 2025,Thematic / Sectoral,HDFC Housing Opportunities Fund ,19.91,66.7,18,6,31.0,23.67
Mar 2025,Balanced Advantage,HDFC Balanced Advantage Fund Plan,20.46,73.7,18,6,17.47,17.53
Mar 2025,Balanced Advantage,WhiteOak Capital Balanced Advantage Fund Direct Plan Growth,16.06,83.3,18,5,16.49,8.93
Mar 2025,Hybrid,Axis Equity Savings Fund,17.99,100.0,6,6,-11.43,-1.88
Mar 2025,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,18.94,77.3,22,6,22.76,1.44
May 2025,Large Cap,Edelweiss Large Cap Fund-Growth option,19.71,70.8,24,6,12.9,15.63
May 2025,Large Cap,Mirae Asset Large Cap Fund,16.16,70.8,23,6,15.63,-14.73
May 2025,Mid Cap,Edelweiss Mid Cap Fund,30.98,79.2,24,6,22.94,-2.82
May 2025,Mid Cap,Mirae Asset Midcap Fund- Direct Growth Option,22.88,70.8,23,6,32.66,7.5
May 2025,Small Cap,Edelweiss Small Cap Fund,24.59,70.8,24,6,24.08,10.54
